"location","area","district","floorTower","netSqft","pricePerSqft","priceHKDMillions","bedrooms","bathrooms","agent","link","buildingAge","occupationDate","ageConfidence","ageSource","estMonthlyRentHKD","estGrossYieldPct"
"Tai Hang Green Villa","Tai Hang","Wan Chai","High Floor,Green Villa","1183","13525","16","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3740007","59","Jun 1967","Medium","28Hse listing","37856","2.84"
"Western Mid-levels Hoover Mansion","Western Mid-levels","Central and Western","Low Floor","1213","13190","16","3",,"Hong Kong Property","https://www.28hse.com/en/buy/apartment/property-3986735","62","Nov 1964","Medium","28Hse listing","35177","2.64"
"North Point City Garden","North Point","Eastern","Unit B,High Floor,BLOCK 10","963","16594","15.98","3","2","Martel Property Agency Company","https://www.28hse.com/en/buy/apartment/property-3729817","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","28890","2.17"
"North Point City Garden","North Point","Eastern","Mid Floor,BLOCK 7","1010","13149","13.28","3","2","Sunrise Property Agency Limited","https://www.28hse.com/en/buy/apartment/property-2326512","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","30300","2.74"
"Sheung Wan Nam Pak Hong Building","Sheung Wan","Central and Western","Unit B,Mid Floor,Nam Pak Hong Building","923","11701","10.8","2","3","Man Bridge Property","https://www.28hse.com/en/buy/apartment/property-3727146","56","1970","Medium","28Hse listing","26767","2.97"
"North Point Comfort Gardens","North Point","Eastern","Unit C,Mid Floor,BLOCK A","1003","13958","14","3","2","Ricacorp Properties","https://www.28hse.com/en/buy/apartment/property-3945958","52","Nov 1974","Medium","28Hse listing","30090","2.58"
"North Point City Garden","North Point","Eastern","Low Floor,BLOCK 7","1010","12455","12.58","3","2","Shun Tak Property Agency Company Limited","https://www.28hse.com/en/buy/apartment/property-3973839","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","30300","2.89"
"North Point City Garden","North Point","Eastern","Mid Floor,BLOCK 8","947","14256","13.5","3","2","Shun Tak Property Agency Company Limited","https://www.28hse.com/en/buy/apartment/property-3857355","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","28410","2.53"
"North Point Mid Kent Mansion","North Point","Eastern","Low Floor,Kent Mansion","962","10790","10.38","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3949421","65","1961","Medium","28Hse listing","28860","3.34"
"Baguio Villa","Baguio Villa","Southern","Unit C,Low Floor,BLOCK 26","976","14857","14.5","2",,"Ricacorp Properties","https://www.28hse.com/en/buy/apartment/property-3977552","47","1979","High","Wikipedia","26352","2.18"
"Quarry Bay Kornhill","Quarry Bay","Eastern","Unit 16,Mid Floor,BLOCK M","922","15184","14","3","2","Ricacorp Properties","https://www.28hse.com/en/buy/apartment/property-3974971","39","1985–88 (phased)","High","28Hse listing + Chinese Wikipedia (康怡花園)","27660","2.37"
